Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
KG Denim Ltd,KGDENIM,500239,Equity,Active,X ,10,INE104A01012,K.G.Denim Ltd
Kinetic Engineering Ltd,KINETICENG,500240,Equity,Active,X ,10,INE266B01017,Kinetic Engineering Ltd.
Kirloskar Brothers Ltd,KIRLOSBROS,500241,Equity,Active,A ,2,INE732A01036,Kirloskar Brothers Ltd.
Kirloskar Industries Ltd,KIRLOSIND,500243,Equity,Active,B ,10,INE250A01039,Kirloskar Industries Ltd
Kirloskar Ferrous Industries Ltd,KIRLFER,500245,Equity,Active,B ,5,INE884B01025,Kirloskar Ferrous Industries Ltd.
Envair Electrodyne Ltd,ENVAIREL,500246,Equity,Active,X ,10,INE601C01013,Envair Electrodyne Ltd.
Kotak Mahindra Bank Ltd,KOTAKBANK,500247,Equity,Active,A ,1,INE237A01036,Kotak Mahindra Bank Ltd.
Krishna Filament Industries Ltd,KRIFILIND,500248,Equity,Active,XT,10,INE073A01019,KRISHNA FILAMENT INDUSTRIES LIMITED
KSB Ltd,KSB,500249,Equity,Active,A ,2,INE999A01023,KSB LIMITED
LG Balakrishnan & Bros Ltd,LGBBROSLTD,500250,Equity,Active,B ,10,INE337A01034,L.g.Balkrishnan & Bros. Ltd.
Trent Ltd,TRENT,500251,Equity,Active,A ,1,INE849A01020,Trent Ltd [Lakme Ltd]
LMW Ltd,LMW,500252,Equity,Active,A ,10,INE269B01029,LMW Limited
LIC Housing Finance Ltd,LICHSGFIN,500253,Equity,Active,A ,2,INE115A01026,Lic Housing Finance Ltd.
Lupin Ltd,LUPIN,500257,Equity,Active,A ,2,INE326A01037,Lupin Ltd
Lyka Labs Ltd,LYKALABS,500259,Equity,Active,B ,10,INE933A01014,Lyka Labs Ltd.
The Ramco Cements Ltd,RAMCOCEM,500260,Equity,Active,A ,1,INE331A01037,The Ramco Cements Limited
Hybrid Financial Services Ltd,HYBRIDFIN,500262,Equity,Active,B ,5,INE965B01022,HYBRID FINANCIAL SERVICES LIMITED
Mafatlal Industries Ltd,MAFATIND,500264,Equity,Active,B ,2,INE270B01035,Mafatlal Industries Ltd.
Maharashtra Seamless Ltd,MAHSEAMLES,500265,Equity,Active,A ,5,INE271B01025,Maharashtra Seamless Ltd.
Maharashtra Scooters Ltd,MAHSCOOTER,500266,Equity,Active,A ,10,INE288A01013,Maharashtra Scooters Ltd.
Majestic Auto Ltd,MAJESAUT,500267,Equity,Active,X ,10,INE201B01022,Majestic Auto Ltd.
Manali Petrochemicals Ltd,MANALIPETC,500268,Equity,Active,B ,5,INE201A01024,Manali Petrochemicals Ltd.
Baroda Rayon Corporation Ltd,BARODARY,500270,Equity,Active,X ,10,INE461A01024,Baroda Rayon Corpn. Ltd.
Max Financial Services Ltd,MFSL,500271,Equity,Active,A ,2,INE180A01020,Max Financial Services Limited
Mid India Industries Ltd,MIDINDIA,500277,Equity,Active,X ,10,INE401C01018,Mid India Industries Limited
Mirc Electronics Ltd,MIRCELECTR,500279,Equity,Active,B ,1,INE831A01028,Mirc Electronics Ltd
Century Enka Ltd,CENTENKA,500280,Equity,Active,B ,10,INE485A01015,Century Enka Ltd.
Modern Thread India Ltd,MODTHREAD,500282,Equity,Active,B ,10,INE794W01014,Modern Thread (India) Ltd.
Lords Chloro Alkali Ltd,LORDSCHLO,500284,Equity,Active,B ,10,INE846D01012,Lords Chloro Alkali Ltd
Spicejet Ltd,SPICEJET,500285,Equity,Active,A ,10,INE285B01017,SpiceJet Limited
Morepen Laboratories Ltd,MOREPENLAB,500288,Equity,Active,A ,2,INE083A01026,Morepen Laboratories Ltd.
MRF Ltd,MRF,500290,Equity,Active,A ,10,INE883A01011,M.R.F. Ltd.
HeidelbergCement India Ltd,HEIDELBERG,500292,Equity,Active,B ,10,INE578A01017,HeidelbergCement  India Limited
NCC Ltd,NCC,500294,Equity,Active,A ,2,INE868B01028,NCC Limited
Vedanta Ltd,VEDL,500295,Equity,Active,A ,1,INE205A01025,Vedanta Limited
Nahar Spinning Mills Ltd,NAHARSPING,500296,Equity,Active,B ,5,INE290A01027,Nahar Spinning Mills Ltd.
Naperol Investments Ltd,NAPEROL,500298,Equity,Active,X ,10,INE585A01020,Naperol Investments Limited
Grasim Industries Ltd,GRASIM,500300,Equity,Active,A ,2,INE047A01021,Grasim Industries Ltd
NIIT Ltd,NIITLTD,500304,Equity,Active,B ,2,INE161A01038,NIIT Ltd.
Jaykay Enterprises Ltd,JAYKAY,500306,Equity,Active,B ,1,INE903A01025,Jaykay Enterprises Limited
Nirlon Ltd,NIRLON,500307,Equity,Active,B ,10,INE910A01012,Nirlon Limited
Oil and Natural Gas Corporation Ltd,ONGC,500312,Equity,Active,A ,5,INE213A01029,Oil And Natural Gas Corporation Ltd
Oil Country Tubular Ltd,OILCOUNTUB,500313,Equity,Active,B ,10,INE591A01010,Oil Country Tubular Ltd.
Oriental Hotels Ltd,ORIENTHOT,500314,Equity,Active,B ,1,INE750A01020,Oriental Hotels Ltd.
Oswal Agro Mills Ltd,OSWALAGRO,500317,Equity,Active,B ,10,INE142A01012,Oswal Agro Mills Ltd.
Indian Sucrose Ltd,INDSUCR,500319,Equity,Active,X ,10,INE557C01017,Indian Sucrose Ltd.
Panyam Cements & Mineral Industries Ltd,PANCM,500322,Equity,Active,XT,10,INE167E01037,Panyam Cements & Mineral Inds. Ltd.
Pil Italica Lifestyle Ltd,PILITA,500327,Equity,Active,B ,1,INE600A01035,Pil Italica Lifestyle Limited
Raymond Ltd,RAYMOND,500330,Equity,Active,A ,10,INE301A01014,Raymond Limited
Pidilite Industries Ltd,PIDILITIND,500331,Equity,Active,A ,1,INE318A01026,Pidilite Industries Ltd.
Pix Transmissions Ltd,PIXTRANS,500333,Equity,Active,B ,10,INE751B01018,Pix Transmissions Ltd.
Birla Corporation Ltd,BIRLACORPN,500335,Equity,Active,A ,10,INE340A01012,Birla Corporation Ltd.
Surya Roshni Ltd,SURYAROSNI,500336,Equity,Active,A ,5,INE335A01020,Surya Roshni Ltd.
Prime Securities Ltd,PRIMESECU,500337,Equity,Active,B ,5,INE032B01021,Prime Securities Ltd.
Prism Johnson Ltd,PRSMJOHNSN,500338,Equity,Active,B ,10,INE010A01011,PRISM JOHNSON LIMITED.
Rain Industries Ltd,RAIN,500339,Equity,Active,A ,2,INE855B01025,Rain Industries Limited
Prudential Sugar Corporation Ltd,PRUDMOULI,500342,Equity,Active,B ,10,INE024D01016,Prudential Sugar Corporation Ltd
AMJ Land Holdings Ltd,AMJLAND,500343,Equity,Active,B ,2,INE606A01024,AMJ LAND HOLDINGS LIMITED
Punjab Communications Ltd,PUNJCOMMU,500346,Equity,Active,B ,10,INE609A01010,Punjab Communications Limited
RSWM Ltd,RSWM,500350,Equity,Active,B ,10,INE611A01016,RSWM Limited
Rajshree Sugars & Chemicals Ltd,RAJSREESUG,500354,Equity,Active,B ,10,INE562B01019,Rajshree Sugars & Chemicals Ltd.
